obf,disccount,nodekindcode,lowerbound,upperbound
-------------O----XOO------XO------OOO-------------------------- X;,9,16,2,36
-------------------XO-----OOO-----XOOX------O------------------- X;,10,16,2,36
-----------------X--X-----XXX-----OOOO----O--------------------- X;,10,8,-36,14
--------------------O------XOX----XXO-------O------------------- X;,8,16,-6,36
-----------O-------OXX-----OX-----OXO-----X--------------------- X;,10,16,-24,36
-------------------O------XXOX-----OOO------O------------------- X;,9,8,-36,6
---------------------X-----XX----OXOO----O--O----O-------------- X;,10,4,-24,-24
------------X-------X-----XXX------XX------OOO------------------ X;,10,8,-36,20
----------O-X------O------XXOX-----OOO-------------------------- X;,10,16,-8,36
-------------------OX-----XXXO----XOO------O-------------------- X;,10,2,2,2
-----------X-------X------XXOOO----OOO-------------------------- X;,10,16,-4,36
-------------------O-X-----OXOO---XXO--------O------------------ X;,10,16,-12,36
--------------------X------XXO----XOO------OO-------O----------- X;,10,4,-6,-6
-------------------XXX-----OX-----OOO-----XO-------------------- X;,10,16,-16,36
----------X--------XO-----XOO------OO------O-------------------- X;,9,4,-2,-2
------------OX---X--O----OXOO------XO--------------------------- X;,10,16,-24,36
--------------------------XXX-----OOOOO--O-O-------------------- X;,10,2,12,12
-------------X-----XX----OOXO------OO-----O--------------------- X;,10,16,2,36
--------------------------XXX------OOOO----O-------------------- X;,8,4,-6,-6
------------------O---O---XXXO-----OOO-------------------------- X;,9,16,2,36
------------X-------X-----XOOOO---OOO--------------------------- X;,10,4,-10,-10
------------------O-X-----XXX------XOO-----O------O------------- X;,10,16,-6,36
-------------X----OXX----OOOO------XO--------------------------- X;,10,16,2,36
------------------X-X-----OOOO-----OO------O-------O------------ X;,10,16,-10,36
------------------O-X------OOO----XXOX-----O-------------------- X;,10,16,2,36
---------OX-------O-------XOX------OO------O-------------------- X;,9,8,-36,18
-------------------XXX-----XX------XOOO-----O------------------- X;,10,8,-36,-2
--------------------X------XXO----XOO------OOO------------------ X;,10,16,2,36
----------X-------XX-------XOOO----OO------O-------------------- X;,10,16,-22,36
-------------------X------OXX----XXOX-------O--------O---------- X;,10,16,-6,36
----------OX-------O------XXOX-----OOO-------------------------- X;,10,16,-10,36
-------------X------X------XOOO----OO-------O------------------- X;,9,16,-2,36
--------------------OX-----OOX----XXOX-----O-------------------- X;,10,4,-20,-20
------------------X-X-----OXOO-----OOO-------------------------- X;,9,16,-20,36
------------------O-OX-----OXX----XXO-------O------------------- X;,10,16,-14,36
--------------------X-----OXX-----XOOOO-----O------------------- X;,10,2,0,0
-------------------OX------XXO----XOO------O-------------------- X;,9,2,6,6
-------------X----OXXX-----OOO-----XO--------------------------- X;,10,8,-36,-2
------------X------X------XXOOO----OOO-------------------------- X;,10,16,-8,36
---------------------X-----XX----OOXO-----O-O-----O------------- X;,10,16,-20,36
---------------------XO----OXO----XXOX-----O-------------------- X;,10,16,-14,36
-----------X------XX------OOO------OO-------O------------------- X;,9,16,-20,36
-----------X------XX-O-----XOO-----OOO-------------------------- X;,10,16,-22,36
-------------------X------OOX-----XOOOO-----O------------------- X;,10,16,2,36
-----------X--------X-----XOOOO---OOO--------------------------- X;,10,4,-8,-8
-----------X------OX------XOOX-----OOO-------------------------- X;,10,16,-10,36
-------------------O--X----OOXO---XXO-------O------------------- X;,10,16,-20,36
---------------------X----OOX-----XOX------OO------O------------ X;,10,4,-14,-14
-------------------O------XXOX-----XOO------O-------O----------- X;,10,16,2,36
------------X------X-O----XXOO-----OOO-------------------------- X;,10,24,-8,20
------------------O-XX----OXX-----XOO-------O------------------- X;,10,16,-14,36
------------------XXX------XX------XOO-----O------O------------- X;,10,8,-36,-2
-------------------OX------XO-----XOOO-----O-------------------- X;,9,1,4,4
--------------------X-----OOOO----XXOX-----O-------------------- X;,10,16,2,36
--------------------X-----XXXO-----XO------OO-------O----------- X;,10,2,-2,-2
---------X--------XX-------XX------OOOO----O-------------------- X;,10,8,-36,20
------------------X--------XX------OOOO----O-------------------- X;,8,4,-14,-14
-------------------O------XXOX-----XOO------O------O------------ X;,10,16,2,36
-------------X---X--X----OXOO-----OOO--------------------------- X;,10,16,8,36
------------X-------X-O---XOXO----OOO--------------------------- X;,10,16,-4,36
-------------X------X-O---XXXO----OOO--------------------------- X;,10,8,-36,2
---------------------X----OOX-----XXO------O-O-----O------------ X;,10,16,-14,36
-------------O------O----XXXX------OOO-------------------------- X;,9,2,14,14
---------------------X---XXXXO-----OO------O-------O------------ X;,10,16,-16,36
-----------X-------X-------XO-----OOOO---O---------------------- X;,9,2,12,12
